dispicable,agreeable,admirable,,,
elated,dejected,downhearted,morose,,
petrified,confident,assured,carefree,,
hideous,beautiful,,,,
stunning,revolting,grotesque,ugly,,
certain,apprehensive,unsure,vague,,
peaceful,bustling,belligerant,stormy,,
valiant,timid,nervous,cowardly,,
obnoxious,delightful,pleasant,likeable,,
miniscule,gargantuan,immense,huge,,
heartbroken,overjoyed,elated,,,
winter,summer,,,,
bumpy,smooth,flat,level,,
inflexible,bendy,yielding,,,
deceiving,honest,truthful,frank,,
single,double,multiple,numerous,,
level,steep,sloping,,,
optimistic,gloomy,pessimistic,,,
scowl,grin,smile,,,
putrid,fresh,wholesome,,,
generous,greedy,miserly,selfish,,
frugal,luxurious,extravagant,,,
healthy,malignant,ailing,,,
prosperous,destitute,poor,,,
fierce,tame,placid,calm,,
scrupulous,careless,reckless,,,
enraged,soothed,placated,,,
dusk,dawn,daybreak,,,
candid,mysterious,secretive,,,
weary,energetic,lively,vigorous,,
explicit,vague,unclear,ambiguous,,
heroic,cowardly,scared,craven,panicky,spineless
renovated,ruined,delapidated,worn,,
organised,chaotic,anarchic,,,
familiar,unknown,novel,strange,,
insignificant,precious,important,vital,,
pristine,shabby,drab,soiled,,
placate,irritate,enrage,annoy,,
absurd,serious,logical,,,
compassionate,uncaring,callous,,,
release,seize,imprison,capture,,
unhelpful,cooperative,supportive,useful,,
despise,love,admire,,,
dismiss,appreciate,value,,,
unruly,obedient,compliant,docile,,
essential,trivial,irrelevant,unimportant,,
lethargic,vigorous,lively,active,,
abundant,barren,scarce,sparce,scanty,
arrogant,humble,modest,,,
casual,formal,solemn,,,
amiable,hostile,unfriendly,combative,,
appreciate,loathe,dislike,despise,,
extravagant,meagre,frugal,sparing,stingy,
inept,capable,able,expert,,
diligent,slapdash,careless,negligent,sloppy,
monotonous,exciting,varied,interesting,,
pessimist,optimist,,,,
absorb,drench,ooze,,,
concur,disagree,argue,,,
distraught,tranquil,calm,,,
bellow,whisper,murmur,,,
unimportant,noteworthy,essential,,,
help,impede,hinder,,,
wounded,unscathed,,,,
happy,melancholy,morose,,,
quirky,conventional,traditional,,,
bizarre,ordinary,,,,
fragile,resilient,robust,,,
combine,separate,isolate,,,
repair,break,rupture,,,
evade,seek,target,,,
unknown,infamous,notorious,,,
unaware,alert,astute,,,
improbable,certain,,,,
fake,genuine,,,,
honest,corrupt,untruthful,,,
cleanse,pollute,,,,
sparse,lush,numerous,,,
docile,savage,wild,,,
ignorant,knowledgeable,expert,,,
clever,stupid,,,,
tense,relaxed,,,,
slack,taut,,,,
release,confine,capture,,,
bland,spicy,,,,
flamboyant,dull,shy,,,
parch,hydrate,,,,
serene,agitated,,,,
donate,appropriate,,,,
random,sequential,,,,
discouraging,inspirational,,,,
wash,soil,,,,
drain,fill,,,,
positive,negative,,,,
satisfied,disappointed,,,,
plummets,soars,,,,
started,concluded,,,,
encourages,undermines,,,,
unequal,fair,balanced,,,
clarify,confuse,,,,
released,apprehended,,,,
plausible,unlikely,,,,
commend,rebuke,,,,
exceptional,ordinary,,,,
initial,ultimate,,,,
proficient,inept,,,,
crucial,unnecessary,,,,
clarification,confusion,,,,
agile,inflexible,,,,
unique,routine,regular,,,
avid,indifferent,uninterested,,,
exquisite,repugnant,,,,
crowded,deserted,,,,
nervous,fearless,,,,
icy,boiling,,,,
logical,irrational,,,,
ignorance,knowledge,,,,
arid,wet,,,,
soak,absorb,,,,
dives,ascends,,,,
rose,descended,,,,
sauntered,raced,sprinted,,,
tolerant,impatient,judgemental,,,
bleak,bright,,,,
shabby,opulent,,,,
conspicuous,concealed,obscured,,,
taciturn,talkative,,,,
overhead,subterranean,,,,
successful,disastrous,,,,
apprehensive,composed,collected,,,
tedious,dramatic,,,,
overdue,prompt,,,,
confirmation,denial,,,,
enlarged,diminished,,,,
enormous,minute,miniscule,,,
solitary,gregarious,accompanied,,,
vindictive,forgiving,merciful,,,
vague,apparent,precise,,,
drag,push,,,,
flushed,pallid,pale,,,
continue,pause,,,,
speedy,slow,,,,
swim,sink,,,,
sucking,blowing,,,,
miserly,generous,,,,
complicated,simple,straightforward,,,
compulsory,voluntary,,,,
forget,remember,,,,
perish,revive,live,,,
disagreement,accord,,,,
wither,blossom,flourish,,,
stretch,contract,shrink,shrivel,,
mountain,valley,,,,
dull,eventful,,,,
leave,join,,,,
moving,stationary,,,,
static,mobile,,,,
intermittent,constant,,,,
condemn,praise,,,,
denies,acknowledges,,,,
obscure,prominent,,,,
famous,anonymous,,,,
whole,fraction,,,,
passive,active,,,,
opaque,transparent,,,,
audacious,discouraging,,,,
singular,plural,,,,
acknowledges,ignores,,,,
quits,endures,,,,
stale,fresh,,,,
despised,popular,,,,
hated,loved,,,,
polar,tropical,,,,
sinking,floating,,,,
demolish,construct,,,,
ambiguous,precise,,,,
common,unusual,,,,
engrossing,boring,,,,
straight,wavy,,,,
rigid,flexible,,,,
partial,complete,,,,
fortunate,unlucky,,,,
constant,variable,,,,
loss,profit,,,,
vulgar,polite,,,,
solution,dilemma,,,,
safety,peril,,,,
radiant,dull,,,,
myth,fact,,,,
reveal,conceal,,,,
biased,impartial,,,,
vivid,colourless,,,,
abandon,keep,,,,
below,above,,,,
ambitious,lazy,,,,
provoke,soothe,,,,
atrocious,wonderful,,,,
doubt,believe,,,,
bottom,top,,,,
release,capture,,,,
skinny,plumb,,,,
confuse,clarify,,,,
far,close,,,,
simple,intricate,,,,
persevere,discontinue,,,,
expose,conceal,,,,
subtract,add,,,,
active,dormant,,,,
insufficient,enough,,,,
sturdy,flimsy,,,,
latter,former,,,,
future,past,,,,
colossal,tiny,,,,
immaculate,filthy,,,,
optional,compulsory,,,,
understanding,intolerant,,,,
rejoice,lament,,,,
loose,tight,,,,
permanent,temporary,,,,
delayed,premature,,,,
untrustworthy,reputable,,,,
mediocre,marvellous,,,,
thaw,freeze,,,,
apex,base,,,,
triumph,lose,,,,
righteous,wicked,,,,
harmony,discord,,,,
sharp,blunt,,,,
captivity,liberty,,,,
contradict,confirm,,,,
reveal,disguise,,,,
covert,open,,,,
compress,expand,,,,
disperse,gather,,,,
generosity,greed,,,,
incompetent,skilled,,,,
morose,jovial,,,,
hasten,loiter,,,,
malice,goodwill,,,,
novice,expert,,,,
ominous,auspicious,,,,
dissuade,cajole,,,,
reduce,exacerbate,,,,
profound,superficial,,,,
virtuous,wicked,,,,
straight,curved,,,,
refuse,accept,,,,
intolerable,acceptable,,,,
inexact,accurate,,,,
obnoxious,aromatic,,,,
departure,arrival,,,,
sharp,blunt,,,,
kind,callous,,,,
central,peripheral,,,,
expensive,cheap,,,,
private,communal,,,,
accidental,deliberate,,,,
replenish,deplete,,,,
ancestor,descendant,,,,
close,distant,,,,
west,east,,,,
arduous,easy,,,,
flow,ebb,,,,
repel,entice,,,,
exit,entrance,,,,
fact,fable,,,,
impartiality,favouritism,,,,
break,fix,,,,
respectful,flippant,,,,
against,for,,,,
seldom,frequent,,,,
stale,fresh,,,,
foe,friend,,,,
miserly,generous,,,,
incompetent,gifted,,,,
protect,harm,,,,
discord,harmony,,,,
reluctant,keen,,,,
cry,laugh,,,,
illegal,lawful,,,,
follow,lead,,,,
right,left,,,,
lenient,strict,,,,
misfortune,luck,,,,
dark,luminous,,,,
feminine,masculine,,,,
juvenile,mature,,,,
maximum,minimum,,,,
freeze,melt,,,,
moist,arid,,,,
natural,synthetic,,,,
never,always,,,,
novice,expert,,,,
occupied,vacant,,,,
intolerant,patient,,,,
peace,war,disharmony,,,
permanent,temporary,,,,
perpendicular,parallel,,,,
poverty,wealth,,,,
preceding,following,,,,
solution,problem,,,,
profit,loss,,,,
shorten,prolong,,,,
aggravate,relieve,,,,
compliment,rebuke,,,,
pacify,provoke,,,,
shallow,deep,,,,
singular,plural,,,,
volatile,stable,,,,
succeed,fail,,,,
succinct,wordy,verbose,,,
taciturn,talkative,,,,
teacher,student,,,,
theoretical,proven,,,,
extravagant,sparing,,,,
tragedy,comedy,,,,
transparent,opaque,,,,
unhealthy,wholesome,,,,
unrefined,cultured,,,,
villain,hero,,,,
forgiving,vindictive,,,,
consonant,vowel,,,,
wane,wax,,,,
rest,labour,,,,
wild,tame,,,,
wisdom,folly,,,,
worst,best,,,,
borrow,grant,,,,
base,apex,,,,
permit,veto,,,,
discourage,cajole,coax,,,
straighten,bend,,,,
frenzied,serene,,,,
separate,united,,,,
turbulent,calm,,,,
victim,culprit,,,,
urban,rural,,,,
vanish,appear,,,,
vigilant,inattentive,,,,
certain,doubtful,,,,
harmful,innocuous,,,,
attack,defend,,,,
retreat,proceed,,,,
clarify,confuse,,,,
grotesque,beautiful,,,,
constant,variable,,,,
short,tall,,,,
deny,confirm,,,,
different,similar,,,,
disagree,concur,,,,
genuine,fake,,,,
coarse,smooth,,,,
uneven,level,,,,
hinder,assist,,,,
severe,mild,,,,
futile,effective,,,,
inappropriate,acceptable,,,,
honest,devious,,,,
disgrace,honour,,,,
early,late,,,,
ignite,extinguish,,,,
always,never,,,,
barren,fertile,,,,
straight,crooked,,,,
foolish,wise,,,,
ceiling,floor,,,,
scatter,gather,,,,
minimum,maximum,,,,
imaginary,real,,,,
worthless,valuable,,,,
liquify,soldify,,,,
withdrawn,outgoing,,,,
whisper,shout,,,,
peace,war,,,,
abbreviate,lengthen,,,,
death,birth,,,,
reckless,cautious,,,,
tragic,comical,,,,
confess,deny,,,,
purify,contaminate,,,,
relapse,recover,,,,
expose,hide,,,,
uncomfortable,cosy,,,,
laugh,cry,,,,
light,dark,,,,
withdraw,deposit,,,,
avoid,confront,,,,
follow,lead,,,,
disapprove,authorise,,,,
progress,decline,,,,
applaud,scold,,,,
wary,reckless,,,,
indecision,resolve,,,,
remarkable,inconsequential,inconspicuous,,,
outgoing,reserved,,,,
relieved,worried,,,,
combative,peaceful,compromising,,,
subdued,boisterous,,,,
glance,stare,,,,
weave,untwist,,,,
desire,despise,,,,
silent,garrulous,,,,
oppress,encourage,,,,
swell,contract,compress,,,
unequalled,matched,,,,
conclude,initiate,commence,,,
stoop,straighten,,,,
erratic,stable,,,,
delete,include,,,,
current,antiquated,,,,
justify,condemn,,,,
connection,gap,,,,
resolute,yielding,,,,
deny,acknowledge,confess,,,
roomy,cramped,,,,
preceed,follow,,,,
lazy,industrious,,,,
sweet,sour,,,,
foolish,prudent,,,,
misunderstand,grasp,,,,
improbable,possible,,,,
rigid,pliable,,,,
scatter,gather,,,,
intermittent,continuous,,,,
giant,pygmy,,,,
hasten,dawdle,,,,
healthy,infirm,,,,
intricate,simple,,,,
release,imprison,,,,
intentional,unplanned,,,,
conceal,divulge,,,,
cruel,compassionate,,,,
blunt,tactful,,,,
admit,expel,,,,
faulty,functional,,,,
decline,prosper,,,,
unclear,distinct,,,,
hope,despair,,,,
destruction,creation,,,,
common,rare,,,,
finite,boundless,,,,
unfair,just,,,,
faithful,disloyal,,,,
messy,immaculate,,,,
adjacent,distant,,,,
accomplishment,failure,,,,
awkward,graceful,,,,
fade,brighten,,,,
perimeter,centre,,,,
permit,forbid,,,,
transparent,opaque,,,,
valuable,worthless,,,,
invincible,vanquished,,,,
exclude,involve,,,,
sensible,ludicrous,,,,
adjacent,distant,,,,
detrimental,beneficial,,,,
mediocre,superb,,,,
constrained,unlimited,,,,
incoherent,audible,,,,
welcoming,inhospitable,,,,
unnecessary,crucial,,,,
selfish,magnanimous,,,,
stubborn,reasonable,,,,
soft,hard,,,,
coarse,smooth,,,,
obedient,insubordinate,,,,
energetic,lethargic,,,,
leave,remain,,,,
public,private,,,,
vertical,horizontal,,,,
roar,whisper,,,,
generous,stingy,,,,
present,absent,,,,
admire,detest,,,,
retreat,advance,,,,
alive,deceased,,,,
awkward,graceful,,,,
blame,praise,,,,
bare,covered,,,,
adult,infant,,,,
combine,seperate,,,,
complex,simple,,,,
crazy,sane,,,,
customer,supplier,,,,
doubt,trust,,,,
boss,employee,,,,
fact,fiction,,,,
famous,anonymous,,,,
free,restricted,,,,
harsh,mild,,,,
ignite,extinguish,,,,
lazy,diligent,,,,
industrious,idle,,,,
strict,lenient,,,,
major,minor,,,,
pleasant,nasty,,,,
criticism,praise,,,,
prey,predator,,,,
prudent,unwise,,,,
used,new,,,,
master,servant,,,,
incapable,competent,,,,
delicate,robust,,,,
attractive,grotesque,,,,
alike,different,,,,
delicious,inedible,,,,
tense,relax,,,,
inaccurate,precise,,,,
confess,deny,,,,
join,disconnect,,,,
vanish,appear,,,,
urge,discourage,,,,
magnify,diminish,,,,
reknowned,unknown,,,,
segment,whole,,,,
ultimate,initial,,,,
good,mischievous,,,,
weird,ordinary,,,,
pause,continue,,,,
precarious,secure,,,,
huge,diminutive,,,,
sprint,saunter,,,,
raw,cooked,,,,
victor,loser,,,,
plant,harvest,,,,
lessen,amplify,,,,
dispicable,commendable,,,,
abolish,establish,,,,
alleviate,aggravate,,,,
flexible,adamant,,,,
courage,cowardice,,,,
benign,malevolent,,,,
clarify,baffle,,,,
hidden,conspicuous,,,,
callous,compassionate,,,,
alike,dissimilar,,,,
praise,scorn,,,,
reveal,camouflage,,,,
devious,honest,,,,
compassion,cruelty,,,,
rudeness,courtesy,,,,
cautious,rash,,,,
defend,denounce,,,,
headstrong,docile,,,,
eager,indifferent,,,,
friendship,feud,,,,
gentle,ferocious,,,,
hatred,affection,,,,
promote,hamper,,,,
comfort,harass,,,,
hasty,leisurely,,,,
impartial,prejudiced,,,,
unlikely,inevitable,,,,
orderly,tangled,,,,
infuriate,appease,,,,
foreboding,auspicious,,,,
ambiguous,transparent,,,,
gain,forfeit,,,,
flustered,calm,,,,
insecure,assured,,,,
strange,familiar,,,,
agree,protest,,,,
rebellious,compliant,,,,
uncivilised,cultured,,,,
steep,flat,,,,
shrewd,foolish,,,,
harmony,discord,,,,
lasting,temporary,,,,
venom,antidote,,,,
vivid,dull,,,,
wilt,bloom,,,,
shallow,deep,,,,
crooked,straight,,,,
flabby,firm,,,,
copy,original,,,,
spring,autumn,,,,
winter,summer,,,,
host,guest,,,,
unhelpful,obliging,,,,
miss,hit,,,,
lower,evelate,,,,
moderate,extreme,,,,
tomorrow,yesterday,,,,
identical,different,,,,
accidental,intentional,,,,
approximately,exactly,,,,
division,unity,,,,
elementary,advanced,,,,
fresh,stale,,,,
back,front,,,,
purchase,sell,,,,
catch,release,,,,
erratic,ordered,,,,
fit,unhealthy,,,,
flood,drain,,,,
costly,free,,,,
general,specific,,,,
knot,untie,,,,
slow,accelerate,,,,
all,none,,,,
