fragile,delicate
auspicious,promising
converge,meet
grimace,frown
obvious,clear
argumentative,defiant
believable,credible
change,transform
car,automobile
significant,important
complex,difficult
covert,secret
absent,missing
acknowledge,recognise
agreeable,enjoyable
apparatus,equipment
brief,short
category,type
disorganised,chaotic
fall,collapse
workmates,colleagues
able,competent
brave,courageous
proud,conceited
certain,definite
equivalent,equal
error,mistake
different,diverse
aggravate,irritate
liberty,freedom
fascinate,engross
noticeable,conspicuous
occur,happen
opportunity,chance
odd,peculiar
possible,achievable
necessary,essential
mainly,primarily
recommend,suggest
separate,unconnected
suspicious,dubious
sincerity,honesty
transfer,reposition
vicious,violent
variety,kind
trivial,unimportant
substantial,significant
chief,leader
abode,home
advantage,benefit
hard,difficult
scared,terrified
clever,ingenious
cruel,harsh
comical,funny
hollow,empty
expensive,costly
complicated,complex
normal,ordinary
wrong,incorrect
united,unified
vigilant,watchful
wary,reticent
friendly,amiable
sad,melancholy
lesser,inferior
greater,superior
shy,bashful
alert,aware
strong,durable
calm,tranquil
powerful,potent
worried,concerned
steady,consistent
authentic,real
new,novel
acute,sharp
far,distant
mild,moderate
unpleasant,offensive
dangerous,hazardous
ordinary,usual
strange,bizarre
hectic,busy
rapidly,quickly
emergency,crisis
danger,peril
hate,loathe
odour,smell
alliance,union
argument,dispute
burden,load
conflict,disagreement
monarchy,royalty
exit,leave
approach,near
outcome,result
injure,wound
aware,conscious
amble,stroll
hunt,search
thaw,melt
terrorise,frighten
agreeable,concur
reject,veto
build,construct
itch,scratch
chase,pursue
break,damage
deserted,abandoned
mend,repair
expand,enlarge
accumulate,collect
moan,complain
detach,separate
attach,join
prosper,flourish
clear,transparent
cloudy,opaque
external,exterior
internal,interior
huge,immense
appropriate,suitable
persuade,coax
asked,enquired
roared,bellowed
mumbled,muttered
answer,respond
find,discover
eerie,sinister
grand,magnificent
majestic,regal
horrible,hideous
overjoyed,ecstatic
sad,miserable
furious,livid
terrified,petrified
nice,pleasant
hectic,busy
enormous,gigantic
anxious,apprehensive
convinced,certain
insist,assert
commented,remarked
expect,anticipate
keen,eager
chance,opportunity
unexpected,surprising
courageous,heroic
naughty,mischievous
silly,absurd
shaking,quivering
loathe,despise
need,require
energetic,vigorous
mistake,blunder
unfriendly,hostile
terrain,landscape
essential,vital
union,allegiance
melancholy,sadness
infamous,notorious
disaster,catastrophe
shirk,evade
impede,hinder
anger,wrath
capture,apprehend
avidly,eagerly
pungent,smelly
fear,trepidation
enhance,improve
appreciate,value
reluctant,resistant
guilt,remorse
inept,useless
daring,audacious
thin,gaunt
bumpy,turbulent
storm,tempest
enraged,incensed
ruin,spoil
endless,infinite
compassion,mercy
chide,reprimand
make,fabricate
impertinent,rude
jubilant,delighted
meticulous,precise
oblivious,unaware
illustrate,depict
choose,select
rejoicing,overjoyed
toiled,worked
collided,crashed
distinct,clear
tiredness,fatigue
lethargy,weariness
rebuke,fault
fake,counterfeit
slim,slender
boisterous,energetic
raucous,rowdy
positive,optimistic
pessimistic,gloomy
untrustworthy,dubious
satisfied,content
thrilled,delighted
house,residence
abode,home
obscure,unclear
stiff,rigid
explosive,volatile
hysterical,frantic
uniform,consistent
still,motionless
fixed,static
impolite,insolent
curt,brusque
blunt,abrupt
wander,amble
scorched,charred
defeat,vanquish
shaking,quivering
persuade,cajole
affable,friendly
brutal,violent
steal,plunder
revolves,rotates
restore,renovate
water,hydrate
apex,peak
display,exhibit
taunt,tease
industrious,diligent
die,perish
stop,cease
vanish,disappear
story,saga
scold,chide
front,anterior
back,posterior
prior,preceding
ardent,passionate
sorry,apologetic
unenthusiastic,apathetic
certain,definite
arguable,contentious
durable,enduring
perfect,flawless
unified,united
complete,entire
blameless,innocent
coarse,rough
aid,assist
din,commotion
dearth,scarcity
intentional,deliberate
lack,deficiency
harmful,detrimental
enemy,foe
sorrow,woe
pointless,futile
outside,exterior
kind,variety
suitable,appropriate
haphazard,random
cunning,devious
mediocre,average
effort,endeavour
embellish,decorate
itemise,catalogue
upbeat,cheerful
animated,lively
flaw,imperfection
assist,support
harmful,detrimental
device,machine
unified,united
apex,peak
outside,exterior
puzzled,perplexed
defy,disobey
finish,conclude
awful,horrible
fascinating,interesting
keep,retain
fabricate,manufacture
catch,capture
fracture,break
plan,scheme
rapidly,speedily
silent,soundless
abnormal,strange
concept,idea
consider,contemplate
disclose,reveal
keen,enthusiastic
sullen,morose
hazardous,dangerous
dilemma,problem
delicate,fragile
naughty,mischievous
answer,respond
location,situation
funny,humorous
peculiar,strange
unhurried,leisurely
disclose,reveal
expose,uncover
consider,contemplate
area,region
wrong,incorrect
ability,aptitude
desert,abandon
adamant,certain
support,recommend
ban,prohibit
prior,earlier
careful,cautious
inept,incompetent
enclose,contain
pollute,contaminate
handy,convenient
civil,polite
constantly,continually
recover,heal
defend,protect
dense,thick
wreck,destroy
rot,decay
deceased,dead
diminish,decrease
weak,feeble
dry,arid
doubt,mistrust
magnify,enlarge
drastic,extreme
eternal,everlasting
eccentric,peculiar
obvious,apparent
confront,face
commonplace,ordinary
fatal,deadly
fault,defect
adversary,opponent
fluid,liquid
pardon,forgive
collect,accumulate
gigantic,colossal
gratitude,appreciation
raised,elevated
modest,humble
mad,insane
irritate,annoy
tedious,boring
ghastly,awful
new,unused
normal,ordinary
oblivious,unaware
disregarding,ignoring
obstinate,stubborn
threatening,menacing
pretty,attractive
customary,traditional
likely,probable
secluded,isolated
discourteous,impolite
cease,terminate
easy,effortless
surplus,extra
commotion,disturbance
vacant,unoccupied
unimportant,insignificant
accomplish,achieve
round,circular
buys,purchases
admission,confession
dawn,sunrise
portion,segment
perfume,fragrance
job,occupation
chance,opportunity
many,numerous
talkative,communicative
hesitate,pause
instantly,immediately
pushed,shoved
quaking,trembling
reliable,dependable
save,rescue
law,rule
store,shop
shy,bashful
smart,intelligent
split,divided
proposal,suggestion
trip,journey
raw,uncooked
unlucky ,unfortunate
winner,victor
annually,yearly
chuckle,giggle
occurring,happening
alike,similar
approximate,estimate
innocent,blameless
commerce,business
modern,contemporary
dashed,sprinted
deceptive,misleading
disaster,catastrophe
shamed,disgraced
extra,additional
formerly,previously
glittering,sparkling
hunger,starvation
jealous,envious
liveable,habitable
nameless,anonymous
dusk,twilight
chief,principal
removable,detachable
rubbish,nonsense
shortage,scarcity
selects,chooses
self-assured,confident
substantial,considerable
surroundings,environment
foreseen,expected
variation,difference
visitor,guest
mystify,baffle
revival,restoration
verify,confirm
brisk,quick
defer,delay
intention,objective
persevered,continued
currently,presently
meticulously,carefully
